PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,dataset,duplicate_count,duplicate
22367889,Assessing fracture risk using gradient boosting machine (GBM) models,"Atkinson EJ, Therneau TM, Melton LJ 3rd, Camp JJ, Achenbach SJ, Amin S, Khosta S.",J Bone Miner Res. 2012 Jun;27(6):1397-404. doi: 10.1002/jbmr.1577.,Atkinson EJ,J Bone Miner Res,2012,2012/02/28,PMC3408850,NIHMS358831,10.1002/jbmr.1577,"search_018, search_06",2,duplicate
38398417,Are Artificial Intelligence-Assisted Three-Dimensional Histological Reconstructions Reliable for the Assessment of Trabecular Microarchitecture?,"Báskay J, Pénzes D, Kontsek E, Pesti A, Kiss A, Guimarães Carvalho BK, Szócska M, Szabó BT, Dobó-Nagy C, Csete D, Mócsai A, Németh O, Pollner P, Mijiritsky E, Kivovics M.",J Clin Med. 2024 Feb 15;13(4):1106. doi: 10.3390/jcm13041106.,Báskay J,J Clin Med,2024,2024/02/24,PMC10889719,,10.3390/jcm13041106,search_019,1,not
36604534,Automatic segmentation of trabecular and cortical compartments in HR-pQCT images using an embedding-predicting U-Net and morphological post-processing,"Neeteson NJ, Besler BA, Whittier DE, Boyd SK.",Sci Rep. 2023 Jan 5;13(1):252. doi: 10.1038/s41598-022-27350-0.,Neeteson NJ,Sci Rep,2023,2023/01/05,PMC9816121,,10.1038/s41598-022-27350-0,"search_019, search_022",2,duplicate
33623074,Automatic segmentation of inner ear on CT-scan using auto-context convolutional neural network,"Hussain R, Lalande A, Girum KB, Guigou C, Bozorg Grayeli A.",Sci Rep. 2021 Feb 23;11(1):4406. doi: 10.1038/s41598-021-83955-x.,Hussain R,Sci Rep,2021,2021/02/24,PMC7902630,,10.1038/s41598-021-83955-x,"search_019, search_020, search_021, search_022",4,duplicate
35288271,Methods for multiscale structural and functional analysis of the mammalian cochlea,"Vogl C, Neef J, Wichmann C.",Mol Cell Neurosci. 2022 May;120:103720. doi: 10.1016/j.mcn.2022.103720. Epub 2022 Mar 11.,Vogl C,Mol Cell Neurosci,2022,2022/03/15,,,10.1016/j.mcn.2022.103720,search_02,1,not
39154827,Single-cell sequencing reveals that specnuezhenide protects against osteoporosis via activation of METTL3 in LEPR(+) BMSCs,"Wei J, Dong R, Ma Y, Wang J, Tian S, Tu X, Mu Z, Liu YQ.",Eur J Pharmacol. 2024 Oct 15;981:176908. doi: 10.1016/j.ejphar.2024.176908. Epub 2024 Aug 21.,Wei J,Eur J Pharmacol,2024,2024/08/18,,,10.1016/j.ejphar.2024.176908,"search_02, search_03",2,duplicate
37121038,Micro/nanoscale bone char alleviates cadmium toxicity and boosts rice growth via positively altering the rhizosphere and endophytic microbial community,"Liang A, Ma C, Xiao J, Hao Y, Li H, Guo Y, Cao Y, Jia W, Han L, Chen G, Tan Q, White JC, Xing B.",J Hazard Mater. 2023 Jul 15;454:131491. doi: 10.1016/j.jhazmat.2023.131491. Epub 2023 Apr 24.,Liang A,J Hazard Mater,2023,2023/04/30,,,10.1016/j.jhazmat.2023.131491,search_02,1,not
34917602,Ectopic Bone Tissue Engineering in Mice Using Human Gingiva or Bone Marrow-Derived Stromal/Progenitor Cells in Scaffold-Hydrogel Constructs,"Shanbhag S, Kampleitner C, Mohamed-Ahmed S, Yassin MA, Dongre H, Costea DE, Tangl S, Stavropoulos A, Bolstad AI, Suliman S, Mustafa K.",Front Bioeng Biotechnol. 2021 Nov 30;9:783468. doi: 10.3389/fbioe.2021.783468. eCollection 2021.,Shanbhag S,Front Bioeng Biotechnol,2021,2021/12/17,PMC8670384,,10.3389/fbioe.2021.783468,"search_02, search_03",2,duplicate
25826666,miR-214 promotes osteoclastogenesis by targeting Pten/PI3k/Akt pathway,"Zhao C, Sun W, Zhang P, Ling S, Li Y, Zhao D, Peng J, Wang A, Li Q, Song J, Wang C, Xu X, Xu Z, Zhong G, Han B, Chang YZ, Li Y.",RNA Biol. 2015;12(3):343-53. doi: 10.1080/15476286.2015.1017205.,Zhao C,RNA Biol,2015,2015/04/01,PMC4615895,,10.1080/15476286.2015.1017205,"search_02, search_03",2,duplicate
36909664,FLNA-filaminopathy skeletal phenotypes are not due to an osteoblast autonomous loss-of-function,"Wade EM, Goodin EA, Wang Y, Morgan T, Callon KE, Watson M, Daniel PB, Cornish J, McCulloch CA, Robertson SP.",Bone Rep. 2023 Feb 28;18:101668. doi: 10.1016/j.bonr.2023.101668. eCollection 2023 Jun.,Wade EM,Bone Rep,2023,2023/03/13,PMC9995945,,10.1016/j.bonr.2023.101668,search_02,1,not
