PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,DOI,Prediction,Segmentation,Radiomics Constrast/Texture,Classification,Super Resolution,Clustering,Data Reduction,Data Integration,ML_Task,Modality,Species,In Vivo or Ex Vivo,Model,Accuracy
27177907,Micro-CT assessment of changes in the morphology and position of the immature mandibular canal during early growth,"Hutchinson EF, Florentino G, Hoffman J, Kramer B.",Surg Radiol Anat. 2017 Feb;39(2):185-194. doi: 10.1007/s00276-016-1694-x. Epub 2016 May 13.,Hutchinson EF,Surg Radiol Anat,2017,5/15/16,10.1007/s00276-016-1694-x,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
28077378,Peripheral skeleton bone strength is positively correlated with total and dairy protein intakes in healthy postmenopausal women,"Durosier-Izart C, Biver E, Merminod F, van Rietbergen B, Chevalley T, Herrmann FR, Ferrari SL, Rizzoli R.",Am J Clin Nutr. 2017 Feb;105(2):513-525. doi: 10.3945/ajcn.116.134676. Epub 2017 Jan 11.,Durosier-Izart C,Am J Clin Nutr,2017,1/13/17,10.3945/ajcn.116.134676,,,,,,,Yes ,,Data Reduction,HRpQCT,Human,In Vivo,Principal Component Analysis,
29187770,Classification of micro-CT images using 3D characterization of bone canal patterns in human osteogenesis imperfecta,"Abidin AZ, Jameson J, Molthen R, Wismüller A.",Proc SPIE Int Soc Opt Eng. 2017 Mar;10134:1013413. doi: 10.1117/12.2254421.,Abidin AZ,Proc SPIE Int Soc Opt Eng,2017,12/1/17,10.1117/12.2254421,,,Yes,Yes,,,,,Radiomics; Classification,microCT,Human,Ex Vivo,Minkowski Functionals; Support Vector Machine,0.85
29446086,Subchondral bone morphology in the metacarpus of racehorses in training changes with distance from the articular surface but not with age,"Martig S, Hitchens PL, Stevenson MA, Whitton RC.",J Anat. 2018 Jun;232(6):919-930. doi: 10.1111/joa.12794. Epub 2018 Feb 15.,Martig S,J Anat,2018,2/16/18,10.1111/joa.12794,,,,,,,Yes,,Data Reduction,microCT,Equine,Ex Vivo,Principal Component Analysis,0.93
28593731,Multimodal-3D imaging based on μMRI and μCT techniques bridges the gap with histology in visualization of the bone regeneration process,"Sinibaldi R, Conti A, Sinjari B, Spadone S, Pecci R, Palombo M, Komlev VS, Ortore MG, Tromba G, Capuani S, Guidotti R, De Luca F, Caputi S, Traini T, Della Penna S.",J Tissue Eng Regen Med. 2018 Mar;12(3):750-761. doi: 10.1002/term.2494. Epub 2017 Oct 2.,Sinibaldi R,J Tissue Eng Regen Med,2018,6/9/17,10.1002/term.2494,,,,,,Yes,,,Clustering,microCT,Human,Ex Vivo,K-Means Clustering,Not Reported
28692998,A New Ensemble Classification System For Fracture Zone Prediction Using Imbalanced Micro-CT Bone Morphometrical Data,"Korfiatis VC, Tassani S, Matsopoulos GK, Korfiatis VC, Tassani S, Matsopoulos GK.",IEEE J Biomed Health Inform. 2018 Jul;22(4):1189-1196. doi: 10.1109/JBHI.2017.2723463. Epub 2017 Jul 4.,Korfiatis VC,IEEE J Biomed Health Inform,2018,7/11/17,10.1109/JBHI.2017.2723463,,,,Yes,,,,,Classification,microCT,Human,Ex Vivo,Ensemble of Imbalanced Learning,0.9
29758447,"Experimental sharp force injuries to ribs: Multimodal morphological and geometric morphometric analyses using micro-CT, macro photography and SEM","Komo L, Grassberger M.",Forensic Sci Int. 2018 Jul;288:189-200. doi: 10.1016/j.forsciint.2018.04.048. Epub 2018 May 1.,Komo L,Forensic Sci Int,2018,5/15/18,10.1016/j.forsciint.2018.04.048,,,,,,,Yes,,Data Reduction,microCT,Pig,Ex Vivo,Principal Component Analysis,0.92
29492335,MIA-Clustering: a novel method for segmentation of paleontological material,"Dunmore CJ, Wollny G, Skinner MM.",PeerJ. 2018 Feb 23;6:e4374. doi: 10.7717/peerj.4374. eCollection 2018.,Dunmore CJ,PeerJ,2018,3/2/18,10.7717/peerj.4374,,Yes,,Yes,,Yes,,,Segmentation; Clustering; Classification,microCT,primates,Ex Vivo,Fuzzy c-means; K-Means Clustering,Not Reported
28913616,Bone Phenotype Assessed by HRpQCT and Associations with Fracture Risk in the GLOW Study,"Litwic AE, Westbury LD, Robinson DE, Ward KA, Cooper C, Dennison EM.",Calcif Tissue Int. 2018 Jan;102(1):14-22. doi: 10.1007/s00223-017-0325-9. Epub 2017 Sep 14.,Litwic AE,Calcif Tissue Int,2018,9/16/17,10.1007/s00223-017-0325-9,,,,,,Yes,,,Clustering,HRpQCT,Human,In Vivo,K-Means Clustering,Not Reported
29740057,Mechanical adaptation of trabecular bone morphology in the mammalian mandible,"Watson PJ, Fitton LC, Meloro C, Fagan MJ, Gröning F.",Sci Rep. 2018 May 8;8(1):7277. doi: 10.1038/s41598-018-25597-0.,Watson PJ,Sci Rep,2018,5/10/18,10.1038/s41598-018-25597-0,,,,,,,Yes,,Data Reduction,microCT,Human,Ex Vivo,Principal Component Analysis,
