PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,DOI,Prediction,Segmentation,Radiomics Constrast/Texture,Classification,Super Resolution,Clustering,Data Reduction,Data Integration,ML_Task,Modality,Species,In Vivo or Ex Vivo,Model,Accuracy
38821263,Identification of Root Canal Morphology in Fused-rooted Mandibular Second Molars From X-ray Images Based on Deep Learning,"Wu W, Chen S, Chen P, Chen M, Yang Y, Gao Y, Hu J, Ma J.",J Endod. 2024 Sep;50(9):1289-1297.e1. doi: 10.1016/j.joen.2024.05.014. Epub 2024 May 29.,Wu W,J Endod,2024,5/31/24,10.1016/j.joen.2024.05.014,,,,Yes,,,,,Classification,microCT,Human,Ex Vivo,VGG19; ResNet18; ResNet50; EfficientNet-b5; Random Forest,0.80; 1.0
38832703,Distinguishing risk of curve progression in adolescent idiopathic scoliosis with bone microarchitecture phenotyping: a 6-year longitudinal study,"Yang KG, Lee WY, Hung AL, Kumar A, Chui EC, Hung VW, Cheng JC, Lam TP, Lau AY.",J Bone Miner Res. 2024 Aug 5;39(7):956-966. doi: 10.1093/jbmr/zjae083.,Yang KG,J Bone Miner Res,2024,6/4/24,10.1093/jbmr/zjae083,,,,,,Yes,,,Clustering,HRpQCT,Human,In Vivo,Fuzzy c-means Clustering,
39728215,Three-Dimensional Bone-Image Synthesis with Generative Adversarial Networks,"Angermann C, Bereiter-Payr J, Stock K, Degenhart G, Haltmeier M.",J Imaging. 2024 Dec 11;10(12):318. doi: 10.3390/jimaging10120318.,Angermann C,J Imaging,2024,12/27/24,10.3390/jimaging10120318,,,,,Yes,,,,Super Resolution,HRpQCT,Human,Ex Vivo,3D-ProGAN; 3D-StyleGAN,22
39866530,Integrating deep learning and machine learning for improved CKD-related cortical bone assessment in HRpQCT images: A pilot study,"Lee Y, Bandara WR, Park S, Lee M, Seo C, Yang S, Lim KJ, Moe SM, Warden SJ, Surowiec RK.",Bone Rep. 2024 Dec 26;24:101821. doi: 10.1016/j.bonr.2024.101821. eCollection 2025 Mar.,Lee Y,Bone Rep,2024,1/27/25,10.1016/j.bonr.2024.101821,,Yes,Yes,Yes,,,,,Radiomics; Segmentation; Classification,HRpQCT,Human,In Vivo,Radiomics-GLCM; UNet; XGBoost,0.96; 0.99
37747411,Embryonic cranial cartilage defects in the Fgfr3(Y367C) (/+) mouse model of achondroplasia,"Motch Perrine SM, Sapkota N, Kawasaki K, Zhang Y, Chen DZ, Kawasaki M, Durham EL, Heuzé Y, Legeai-Mallet L, Richtsmeier JT.",Anat Rec (Hoboken). 2025 Jul;308(7):1893-1911. doi: 10.1002/ar.25327. Epub 2023 Sep 25.,Motch Perrine SM,Anat Rec (Hoboken),2025,9/25/23,10.1002/ar.25327,,Yes,,,,,Yes,,Data Reduction; Segmentation,microCT,Mouse,Ex Vivo,Principal Component Analysis; FCN,Not Reported
40123115,"Statistical Shape Modeling of an Experimental, Induced Cam-Femoroacetabular Impingement Deformity in a Rabbit Model: A Platform to Study Mechanism of Hip Disease","Ince DC, Kamenaga T, Kikuchi K, Clohisy JC, O'Keefe RJ, Yuh C, Wimmer MA, Mell SP, Pascual-Garrido C.",Am J Sports Med. 2025 May;53(6):1328-1335. doi: 10.1177/03635465251326888. Epub 2025 Mar 23.,Ince DC,Am J Sports Med,2025,3/24/25,10.1177/03635465251326888,,,,,,,Yes,,Data Reduction,microCT,Rabbit,Ex Vivo,Principal Component Analysis,0.9
40130531,A new preclinical sheep model of medial meniscus anterior root repair: Part 1-Quantitative morphology and relationships to adjacent structures,"Liu W, Carretero-Hernández M, Zhang Y, Cucchiarini M, Brockmeyer M, Madry H.",Knee Surg Sports Traumatol Arthrosc. 2025 Jul;33(7):2470-2486. doi: 10.1002/ksa.12656. Epub 2025 Mar 25.,Liu W,Knee Surg Sports Traumatol Arthrosc,2025,3/25/25,10.1002/ksa.12656,,,,,,Yes,Yes,,Data Reduction; Clustering,microCT,Ovine,Ex Vivo,Principal Component Analysis; K-Means Clustering,
40583737,Trabecular Architecture of the Proximal Tibia in Extant Hominids,"Lukova A, Bachmann S, Synek A, Pahr DH, Kilbourne B, Dunmore CJ, Kivell TL, Skinner MM.",Am J Biol Anthropol. 2025 Jul;187(3):e70084. doi: 10.1002/ajpa.70084.,Lukova A,Am J Biol Anthropol,2025,6/30/25,10.1002/ajpa.70084,,,,,,,Yes,,Data Reduction,microCT,Human; Gorilla; Chimpanzee; Orangutan,Ex Vivo,Principal Component Analysis,
39869791,Prediction of hip fracture by high-resolution peripheral quantitative computed tomography in older Swedish women,"Jaiswal R, Pivodic A, Zoulakis M, Axelsson KF, Litsne H, Johansson L, Lorentzon M.",J Bone Miner Res. 2025 Jun 3;40(6):779-790. doi: 10.1093/jbmr/zjaf020.,Jaiswal R,J Bone Miner Res,2025,1/27/25,10.1093/jbmr/zjaf020,,,,Yes,,,,,Classification,HRpQCT,Human,In Vivo,Neural Network; Random Forest; Ensemble; Extreme Gradient Boosting,0.75
39890924,Universal conditional networks (UniCoN) for multi-age embryonic cartilage segmentation with Sparsely annotated data,"Sapkota N, Zhang Y, Zhao Z, Gomez MJ, Hsi Y, Wilson JA, Kawasaki K, Holmes G, Wu M, Jabs EW, Richtsmeier JT, Perrine SMM, Chen DZ.",Sci Rep. 2025 Jan 31;15(1):3893. doi: 10.1038/s41598-025-87797-9.,Sapkota N,Sci Rep,2025,1/31/25,10.1038/s41598-025-87797-9,,Yes,,,,,,,Segmentation,microCT,Mouse,Ex Vivo,UniCon; UNet; Res2Net; ConSA; HDSC; ConUNETR; SwinUNET v2,0.70-0.90
39905914,"Segmentation of cortical bone, trabecular bone, and medullary pores from micro-CT images using 2D and 3D deep learning models","Lee AH, Moore JM, Covarrubias BV, Lynch LM.",Anat Rec (Hoboken). 2025 Feb 5. doi: 10.1002/ar.25633. Online ahead of print.,Lee AH,Anat Rec (Hoboken),2025,2/5/25,10.1002/ar.25633,,Yes,,,,,,,Segmentation,microCT,River Otter,Ex Vivo,UNet; BONe,0.9
40082604,A robust deep learning approach for segmenting cortical and trabecular bone from 3D high resolution µCT scans of mouse bone,"Lagzouli A, Pivonka P, Cooper DML, Sansalone V, Othmani A.",Sci Rep. 2025 Mar 13;15(1):8656. doi: 10.1038/s41598-025-92954-1.,Lagzouli A,Sci Rep,2025,3/14/25,10.1038/s41598-025-92954-1,,Yes,,,,,,,Segmentation,microCT,Mouse,Ex Vivo,DBAHNet,0.93
40127966,Evaluation of stapes image quality with ultra-high-resolution CT in comparison to cone-beam CT and high-resolution CT in cadaveric heads,"Puel U, Boukhzer S, Doyen M, Hossu G, Boubaker F, Groubatch F, Blum A, Gondim Teixeira PA, Eliezer M, Parietti-Winkler C, Gillet R.",AJNR Am J Neuroradiol. 2025 Mar 24:ajnr.A8748. doi: 10.3174/ajnr.A8748. Online ahead of print.,Puel U,AJNR Am J Neuroradiol,2025,3/24/25,10.3174/ajnr.A8748,,,,,Yes,,,,Super Resolution,microCT,Human,Ex Vivo,AiCE Ear,Not Reported
40196347,A study on early diagnosis for fracture non-union prediction using deep learning and bone morphometric parameters,"Yu H, Mu Q, Wang Z, Guo Y, Zhao J, Wang G, Wang Q, Meng X, Dong X, Wang S, Sun J.",Front Med (Lausanne). 2025 Mar 24;12:1547588. doi: 10.3389/fmed.2025.1547588. eCollection 2025.,Yu H,Front Med (Lausanne),2025,4/8/25,10.3389/fmed.2025.1547588,,Yes,,Yes,,,,,Segmentation; Classification,microCT,Rats,Ex Vivo,Segmentation-VM-TE-UNet; Classification-Support Vector Machine; Classification-Mutlilayer Perceptron; Classification-Decision Tree; Classification-Random Forest,0.8
40328110,A high-throughput framework for predicting three-dimensional structural-mechanical relationships of human cranial bones using a deep learning-based method,"Guo W, Rezasefat M, Rabey KN, Ouellet S, Westover L, Hogan JD.",J Mech Behav Biomed Mater. 2025 Aug;168:107007. doi: 10.1016/j.jmbbm.2025.107007. Epub 2025 Apr 24.,Guo W,J Mech Behav Biomed Mater,2025,5/6/25,10.1016/j.jmbbm.2025.107007,,,,,Yes,,,,Super Resolution,microCT,Human,Ex Vivo,UNet; UNet,0.90; 0.99
40395772,Prognostic assessment of osteolytic lesions and mechanical properties of bones bearing breast cancer using neural network and finite element analysis(☆),"Wang S, Chu T, Wasi M, Guerra RM, Yuan X, Wang L.",Mechanobiol Med. 2025 Mar 30;3(2):100130. doi: 10.1016/j.mbm.2025.100130. eCollection 2025 Jun.,Wang S,Mechanobiol Med,2025,5/21/25,10.1016/j.mbm.2025.100130,,,,,Yes,,,,Super Resolution,microCT,Mouse,Ex Vivo,Long Short-Term Memory with CNN,0.86; 35.0; 0.81
40532366,Automated quantitative analysis of peri-articular bone microarchitecture in HR-pQCT knee images,"Neeteson NJ, Hasick SM, Souza R, Boyd SK.",Comput Methods Programs Biomed. 2025 Sep;269:108882. doi: 10.1016/j.cmpb.2025.108882. Epub 2025 Jun 13.,Neeteson NJ,Comput Methods Programs Biomed,2025,6/18/25,10.1016/j.cmpb.2025.108882,,Yes,,,,,,,Segmentation,HRpQCT,Human,Ex Vivo,UNet; UNet++; UNETR; SegResNetVAE; SeGAN,Not Reported
40582223,Predicting rat lumbar vertebral failure patterns as synthetic μCT images using a deep convolutional generative adversarial network,"Tolgyesi A, Whyne C, Hardisty M.",J Mech Behav Biomed Mater. 2025 Oct;170:107116. doi: 10.1016/j.jmbbm.2025.107116. Epub 2025 Jun 26.,Tolgyesi A,J Mech Behav Biomed Mater,2025,6/29/25,10.1016/j.jmbbm.2025.107116,,,,,Yes,,,,Super Resolution,microCT,Rats,In Vivo,cGAN; pix2pix; UNet,0.75; 0.75; 190; 0.65
40710452,"Morphometric, Biomechanical and Macromolecular Performances of β-TCP Macro/Micro-Porous Lattice Scaffolds Fabricated via Lithography-Based Ceramic Manufacturing for Jawbone Engineering","Mangano C, Riberti N, Orilisi G, Tecco S, Furlani M, Giommi C, Mengucci P, Giorgini E, Giuliani A.",J Funct Biomater. 2025 Jun 28;16(7):237. doi: 10.3390/jfb16070237.,Mangano C,J Funct Biomater,2025,7/25/25,10.3390/jfb16070237,,Yes,,,,,,,Segmentation,microCT,Human,Ex Vivo,UNet,Not Reported
40738977,Trabecular bone analysis: ultra-high-resolution CT goes far beyond high-resolution CT and gets closer to micro-CT (a study using Canon Medical CT devices),"Gillet R, Puel U, Amer A, Doyen M, Boubaker F, Assabah B, Hossu G, Gillet P, Blum A, Teixeira PAG.",Skeletal Radiol. 2025 Jul 30. doi: 10.1007/s00256-025-05001-5. Online ahead of print.,Gillet R,Skeletal Radiol,2025,7/30/25,10.1007/s00256-025-05001-5,,,,,Yes,,,,Super Resolution,microCT,Human,Ex Vivo,AiCE Bone,only outputs compared still good
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
